Tipe,Nama,Kuantitas/Panjang,Satuan,Latitude,Longitude
POP / Server OLT,Surabaya Kota,1,pcs,-7.24298096000001,112.7420044
ODC,ODC 01,1,pcs,-7.241531523707213,112.74240494474788
Join Closure,JOIN CLOSURE ODC 01,1,pcs,-7.241531523707213,112.74240494474788
ODP,01/01,1,pcs,-7.24143012066833,112.74325843007283
Kabel Distribusi,ODC 01 -> 01/01,113.78,m,,
Homepass (Titik Rumah),01/01-01,1,pcs,-7.24161679448679,112.74320077700392
Kabel Drop,01/01 -> 01/01-01,26.05,m,,
Homepass (Titik Rumah),01/01-02,1,pcs,-7.24184190330425,112.74325512251569
Kabel Drop,01/01 -> 01/01-02,54.95,m,,
Homepass (Titik Rumah),01/01-03,1,pcs,-7.242088249999999,112.74325675
Kabel Drop,01/01 -> 01/01-03,87.82,m,,
Homepass (Titik Rumah),01/01-04,1,pcs,-7.242058274051142,112.74287479289553
Kabel Drop,01/01 -> 01/01-04,98.0,m,,
Homepass (Titik Rumah),01/01-05,1,pcs,-7.242340074225243,112.74313040939963
Kabel Drop,01/01 -> 01/01-05,122.6,m,,
Homepass (Titik Rumah),01/01-06,1,pcs,-7.241783616131231,112.74243372828833
Kabel Drop,01/01 -> 01/01-06,118.92,m,,
Homepass (Titik Rumah),01/01-07,1,pcs,-7.241901598596158,112.74399241618401
Kabel Drop,01/01 -> 01/01-07,115.75,m,,
Homepass (Titik Rumah),01/01-08,1,pcs,-7.2406724996368945,112.74345958392487
Kabel Drop,01/01 -> 01/01-08,104.54,m,,
Homepass (Titik Rumah),01/01-09,1,pcs,-7.240636650000001,112.74342285
Kabel Drop,01/01 -> 01/01-09,108.09,m,,
Homepass (Titik Rumah),01/01-10,1,pcs,-7.240598899999999,112.74341584999999
Kabel Drop,01/01 -> 01/01-10,112.85,m,,
ODP,01/02,1,pcs,-7.241233196353931,112.74279281932824
Kabel Distribusi,ODC 01 -> 01/02,64.97,m,,
